Age,Sleep_Hours,Screen_Time,Stress_Level,Noise_Exposure,Social_Interaction,Work_Hours,Exercise_Hours,Caffeine_Intake,Multitasking_Habit,Anxiety_Score,Depression_Score,Sensory_Sensitivity,Meditation_Habit,Overthinking_Score,Irritability_Score,Headache_Frequency,Sleep_Quality,Tech_Usage_Hours,Overstimulated
56,7.76782497775488,4.9085172332127645,2,0,8,11,2.0544110869375687,4,0,6,8,3,1,1,8,1,2,8.746524086346007,0
46,4.270068433869389,8.413936289603035,9,4,4,10,2.5132162785532914,3,1,4,4,2,1,5,5,2,4,8.508447762924991,1
32,6.676143685669421,1.6882132644139674,5,2,8,12,2.1231078886490513,2,1,4,3,2,1,8,7,2,4,5.701591993251897,0
25,7.9633238320570285,3.3155763363187725,7,2,8,13,1.2176632578141762,3,1,3,4,0,1,4,4,2,1,9.131087347639953,0
38,3.7481384616632067,9.89926004320844,5,0,5,4,0.09340721379170869,4,0,9,4,0,1,2,9,5,3,2.2864331638514623,1
56,6.971185537402325,2.6161411594214785,7,4,0,12,2.902204890705689,2,1,2,2,2,0,9,5,0,3,6.9237046419537265,0
36,4.795939485909546,4.769096611747737,4,2,9,10,2.95900818647426,3,1,1,4,3,0,9,3,5,1,3.2399521885197586,1
40,9.74048812666306,10.511248140439541,8,2,6,4,1.648093654332806,4,0,3,9,2,0,3,5,4,2,6.810052645947129,1
28,6.384819527039474,2.7041784225778693,7,2,5,4,0.21201289408531676,1,1,4,4,2,0,7,9,4,3,1.7865972019467622,0
28,8.641947848426106,1.9101051918000889,5,4,8,8,1.6229175177434008,1,0,4,1,2,0,1,8,4,3,9.49248185594445,0
41,6.851585795093833,6.329917945880119,6,0,6,11,2.677015410662425,0,0,6,1,4,0,8,1,0,1,8.076988356314434,0
53,3.3038877299837344,4.3266146240639,5,2,3,12,2.0399565303846403,1,0,1,1,3,0,8,5,4,2,2.808654084063017,1
57,7.432059629158156,7.197492009322396,7,3,6,9,2.1599676930981726,3,0,1,5,1,1,3,6,5,4,6.735489117148336,0
41,9.6598233954466,9.841853795318226,2,4,1,13,0.25490951229674785,1,1,2,6,2,1,5,2,6,4,7.83231076483724,1
20,7.211282741024318,2.508633369680175,5,1,5,11,0.31953491109540433,2,0,4,6,1,1,4,6,5,3,2.885012396464248,0
39,8.734322015987532,7.387689930097135,3,0,5,9,0.3820463291276558,2,1,7,6,3,0,7,9,6,4,1.839972769425794,0
19,9.189445243438854,6.560596364288503,9,3,1,14,2.713130500982978,2,1,6,9,2,1,7,4,2,1,4.166017894861298,1
41,4.596558403642527,2.584866646145195,6,2,3,9,1.57754890879144,1,1,9,1,1,0,8,3,3,3,2.221789070757088,1
47,4.484313879357586,7.863983340818806,3,1,7,7,2.3747252891789734,1,1,7,6,1,0,5,9,6,3,6.091405345938064,1
55,7.276866921956942,4.010044596468488,7,0,7,14,0.3458737796508007,0,1,5,8,3,0,5,2,1,2,4.817034186160735,0
